date,time,time_control,white_name,white_rating,white_result,white_bool,black_name,black_rating,black_result,black_bool,eco_code,eco_name,pgn_score,pgn_string,url
2015-12-15,21:57:21,1/259200,alchmestronomical,1200,timeout,0.0,1RP2,1200,win,1.0,A00,Polish-Opening-1...e5,"['1.', 'b4']",1. b4 ,https://www.chess.com/game/daily/124333200
2015-12-15,07:42:10,1/259200,1RP2,1424,win,1.0,vitiakoz,1316,checkmated,0.0,C40,Kings-Pawn-Opening-Kings-Knight-McConnell-Defense,"['1.', 'e4', 'Nf3', 'Qf6', 'Bb4+', '4.', '5.', 'Bc4', 'b4', 'Bb6', 'Qg6', '8.', '9.', 'h3', 'Bxe7', 'Kxe7', 'Qg5', '12.', '13.', 'exf5', 'Re1+', 'Kd8', 'Nc6', '16.', '17.', 'Rf1', 'Nc3', 'Bxc3', 'Bxb4', '20.', '21.', 'Rxc6', 'Qxb4', 'a6', 'Kd7', '24.', '25.', 'Be4', 'Qc2', 'd5', 'Rb2', '28.', '29.', 'h4', 'Bg4+', 'f5', 'h6', '32.', '33.', 'Qb3', 'Qa4', 'g5', 'Rb6', '36.', '37.', 'Bxc6', 'Qxc6', 'gxh4', '1-0']",1. e4 Nf3 Qf6 Bb4+ 4. 5. Bc4 b4 Bb6 Qg6 8. 9. h3 Bxe7 Kxe7 Qg5 12. 13. exf5 Re1+ Kd8 Nc6 16. 17. Rf1 Nc3 Bxc3 Bxb4 20. 21. Rxc6 Qxb4 a6 Kd7 24. 25. Be4 Qc2 d5 Rb2 28. 29. h4 Bg4+ f5 h6 32. 33. Qb3 Qa4 g5 Rb6 36. 37. Bxc6 Qxc6 gxh4 1-0 ,https://www.chess.com/game/daily/124358298
2015-12-19,19:30:18,1/259200,vitiakoz,1271,resigned,0.0,1RP2,1495,win,1.0,C24,Bishops-Opening-Berlin-Defense-3.d3,"['1.', 'e4', 'Bc4', 'Nf6', 'h6', '4.', '5.', 'Nc3', 'Bd2', 'd6', 'Bxc3', '8.', '9.', 'Bb5', 'h3', 'Be6', 'exd4', '12.', '13.', 'Ba4', 'Bb3', 'Nxe4', 'Rg8', '16.', '17.', 'Qd3', 'Qf1', 'Bxh3', 'Qe7', '20.', '21.', 'Bg5', 'Kxe2', 'Nxh1+', 'Rxg5', '24.', '25.', 'Kf2', 'Bd5', 'Bg4', 'Rf8', '28.', '29.', 'Rh4', 'Rh1', 'Nd4+', 'Nxc2+', '32.', '33.', 'Kc3', 'Kb2', 'Bg6']",1. e4 Bc4 Nf6 h6 4. 5. Nc3 Bd2 d6 Bxc3 8. 9. Bb5 h3 Be6 exd4 12. 13. Ba4 Bb3 Nxe4 Rg8 16. 17. Qd3 Qf1 Bxh3 Qe7 20. 21. Bg5 Kxe2 Nxh1+ Rxg5 24. 25. Kf2 Bd5 Bg4 Rf8 28. 29. Rh4 Rh1 Nd4+ Nxc2+ 32. 33. Kc3 Kb2 Bg6 ,https://www.chess.com/game/daily/124603142
2015-12-21,20:53:41,1/259200,1RP2,1539,win,1.0,vitiakoz,1284,checkmated,0.0,D00,Queens-Pawn-Opening-Chigorin-Variation,"['1.', 'd4', 'Nc3', 'e6', 'c6', '4.', '5.', 'e3', 'Bd3', 'Be7', 'O-O', '8.', '9.', 'h3', 'Qe2', 'Nb6', 'dxe4', '12.', '13.', 'Bxe4', 'Ne5', 'b4', 'Bxd3', '16.', '17.', 'bxa3', 'Bd2', 'Bd6', 'Nf6', '20.', '21.', 'Ng4', 'Nh6+', 'Kh8', 'g6', '24.', '25.', 'Qf6#']",1. d4 Nc3 e6 c6 4. 5. e3 Bd3 Be7 O-O 8. 9. h3 Qe2 Nb6 dxe4 12. 13. Bxe4 Ne5 b4 Bxd3 16. 17. bxa3 Bd2 Bd6 Nf6 20. 21. Ng4 Nh6+ Kh8 g6 24. 25. Qf6# ,https://www.chess.com/game/daily/124738514
2015-12-26,22:09:56,1/259200,vitiakoz,1274,resigned,0.0,1RP2,1568,win,1.0,C24,Bishops-Opening-Berlin-Defense,"['1.', 'e4', 'Bc4', 'Nf6', 'Nc6', '4.', '5.', 'Nh3', 'O-O', 'd6', 'Bg4', '8.', '9.', 'd4', 'cxd4', 'Nxd4', 'Be2', '12.', '13.', 'Kxf1']",1. e4 Bc4 Nf6 Nc6 4. 5. Nh3 O-O d6 Bg4 8. 9. d4 cxd4 Nxd4 Be2 12. 13. Kxf1 ,https://www.chess.com/game/daily/125077128
2015-12-29,19:23:09,1/259200,1RP2,1452,checkmated,0.0,vitiakoz,1298,win,1.0,D00,Queens-Pawn-Opening-Chigorin-Variation-2...Nf6-3.Bf4,"['1.', 'd4', 'Nc3', 'Nf6', 'Nc6', '4.', '5.', 'Bd3', 'a3', 'Bxc3+', 'O-O', '8.', '9.', 'Qg3', 'Qf3', 'Nxf4', 'c5', '12.', '13.', 'Nf3', 'O-O', 'e5', 'Kxh7', '16.', '17.', 'Qg3', 'Rad1', 'Qxg3', 'd4', '20.', '21.', 'exd4', 'Rf4', 'Rad8', 'Bxc2', '24.', '25.', 'Rdf2', 'h4', 'Rxd4', 'Kh6', '28.', '29.', 'Rf5+', 'R5f3', 'Bd5', 'Ne5', '32.', '33.', 'Rb5', 'c6', 'Rd1#']",1. d4 Nc3 Nf6 Nc6 4. 5. Bd3 a3 Bxc3+ O-O 8. 9. Qg3 Qf3 Nxf4 c5 12. 13. Nf3 O-O e5 Kxh7 16. 17. Qg3 Rad1 Qxg3 d4 20. 21. exd4 Rf4 Rad8 Bxc2 24. 25. Rdf2 h4 Rxd4 Kh6 28. 29. Rf5+ R5f3 Bd5 Ne5 32. 33. Rb5 c6 Rd1# ,https://www.chess.com/game/daily/125283210
2016-01-02,20:44:00,1/259200,vitiakoz,1318,win,1.0,1RP2,1370,resigned,0.0,A04,Reti-Opening-Pirc-Invitation,"['1.', 'Nf3', 'd3', 'h6', 'e5', '4.', '5.', 'Nfd2', 'Nc3', 'Nf6', 'b6', '8.', '9.', 'e3', 'exf4', 'O-O', 'Nc6', '12.', '13.', 'Nb5', 'Nxf3', 'exf3', 'Bg4', '16.', '17.', 'Qe3', 'Nd4', 'Qd7', 'Rae8', '20.', '21.', 'Nxe2', 'Rd1', 'Ne4', 'Rg6', '24.', '25.', 'h3', 'h4', 'Qg4', 'Re8', '28.', '29.', 'Rde1', 'Rxe8+', 'Qxe8', 'c4', '32.', '33.', 'Re1', 'Re7', 'Qd8', 'Rf6', '36.', '37.', 'Qd7', 'Rxd7', 'Kf8', 'Ke7', '40.', '41.', 'b3', 'axb3', 'Ng4', 'Nf6', '44.', '45.', 'Rb5', 'Kf3', 'f5', 'Rc6', '48.', '49.', 'Re5+', 'h5', 'Kg7', 'Rxg6', '52.']",1. Nf3 d3 h6 e5 4. 5. Nfd2 Nc3 Nf6 b6 8. 9. e3 exf4 O-O Nc6 12. 13. Nb5 Nxf3 exf3 Bg4 16. 17. Qe3 Nd4 Qd7 Rae8 20. 21. Nxe2 Rd1 Ne4 Rg6 24. 25. h3 h4 Qg4 Re8 28. 29. Rde1 Rxe8+ Qxe8 c4 32. 33. Re1 Re7 Qd8 Rf6 36. 37. Qd7 Rxd7 Kf8 Ke7 40. 41. b3 axb3 Ng4 Nf6 44. 45. Rb5 Kf3 f5 Rc6 48. 49. Re5+ h5 Kg7 Rxg6 52. ,https://www.chess.com/game/daily/125593956
2016-01-11,15:39:44,1/259200,1RP2,1414,win,1.0,vitiakoz,1317,resigned,0.0,C24,Bishops-Opening-Berlin-Defense-3.d3-Bc5,"['1.', 'e4', 'Bc4', 'Nf6', 'Bc5', '4.', '5.', 'Bg5', 'c3', 'Bg4', 'Bxf3', '8.', '9.', 'Bxf6', 'Nd2', 'O-O-O', 'Bb6', '12.', '13.', 'b5', 'Qg4+', 'Rd7', 'g6', '16.', '17.', 'Bxa6', 'Qe2', 'Ba5', 'Bxc3', '20.', '21.', 'Rfc1', 'Nb6+', 'Bxb6', 'Kd8', '24.', '25.', 'Rac6', 'a5', 'Kd8', 'Ra8', '28.', '29.', 'Qb3', 'Qb7', 'Rc8', 'Rd6', '32.', '33.', 'Qxa8+', 'Rxc7+', 'Ke6']",1. e4 Bc4 Nf6 Bc5 4. 5. Bg5 c3 Bg4 Bxf3 8. 9. Bxf6 Nd2 O-O-O Bb6 12. 13. b5 Qg4+ Rd7 g6 16. 17. Bxa6 Qe2 Ba5 Bxc3 20. 21. Rfc1 Nb6+ Bxb6 Kd8 24. 25. Rac6 a5 Kd8 Ra8 28. 29. Qb3 Qb7 Rc8 Rd6 32. 33. Qxa8+ Rxc7+ Ke6 ,https://www.chess.com/game/daily/126298828
2016-01-12,20:26:51,1/259200,vitiakoz,1309,repetition,0.5,1RP2,1401,repetition,0.5,B00,Nimzowitsch-Defense-Kennedy-Variation,"['1.', 'e4', 'd4', 'Nc6', 'exd4', '4.', '5.', 'c3', 'Be3', 'Nh6', 'Bxe3', '8.', '9.', 'Be2', 'Nd2', 'Qg5', 'Bg4', '12.', '13.', 'Rf2', 'h3', 'Bxf3', 'Qh4', '16.', '17.', 'Rd1', 'Rfd2', 'Qxd7', 'Rac8', '20.', '21.', 'Rxe8+', 'Rxc7', 'Rb8', 'Nxg4', '24.', '25.', 'Kf2', 'Kf3', 'g5', 'Kg6', '28.', '29.', 'Ke6', 'Re7', 'Rxe7+', 'f5', '32.', '33.', 'Kd6', 'Kc7', 'h4', 'c5', '36.', '37.', 'Kxa5', 'Kb4', 'Kg3', 'Kxg2', '40.', '41.', 'a6', 'a7', 'h1=Q', 'Kh2', '44.', '45.', 'Qa8+', 'Qb8+', 'Kg2', 'Kh2', '48.', '49.', 'Qd7+', 'Qh7+', 'Kg2', 'Kh2', '52.', '53.', 'Qe3+', 'Qg1+', 'Qg2', 'Qf3', '56.', '57.', 'Qe3+', 'Qg1+', '1/2-1/2']",1. e4 d4 Nc6 exd4 4. 5. c3 Be3 Nh6 Bxe3 8. 9. Be2 Nd2 Qg5 Bg4 12. 13. Rf2 h3 Bxf3 Qh4 16. 17. Rd1 Rfd2 Qxd7 Rac8 20. 21. Rxe8+ Rxc7 Rb8 Nxg4 24. 25. Kf2 Kf3 g5 Kg6 28. 29. Ke6 Re7 Rxe7+ f5 32. 33. Kd6 Kc7 h4 c5 36. 37. Kxa5 Kb4 Kg3 Kxg2 40. 41. a6 a7 h1=Q Kh2 44. 45. Qa8+ Qb8+ Kg2 Kh2 48. 49. Qd7+ Qh7+ Kg2 Kh2 52. 53. Qe3+ Qg1+ Qg2 Qf3 56. 57. Qe3+ Qg1+ 1/2-1/2 ,https://www.chess.com/game/daily/126311276
2016-01-13,19:54:28,1/259200,1RP2,1430,win,1.0,vitiakoz,1304,resigned,0.0,B07,Pirc-Defense-2.d4,"['1.', 'd4', 'e4', 'e6', 'Nf6', '4.', '5.', 'Bxf6', 'e5', 'Qf5', 'Qg4', '8.', '9.', 'h3', 'g4', 'Qg5', 'hxg5', '12.', '13.', 'a3', 'Nc3', 'dxe5', 'Nd7', '16.', '17.', 'O-O-O', 'h4', 'c5', 'Rac8', '20.', '21.', 'Rh6', 'Ne4', 'Nxe5', 'Nxg4', '24.', '25.', 'Qe5+', 'gxf6+', 'Bxf6', 'Kg8', '1-0']",1. d4 e4 e6 Nf6 4. 5. Bxf6 e5 Qf5 Qg4 8. 9. h3 g4 Qg5 hxg5 12. 13. a3 Nc3 dxe5 Nd7 16. 17. O-O-O h4 c5 Rac8 20. 21. Rh6 Ne4 Nxe5 Nxg4 24. 25. Qe5+ gxf6+ Bxf6 Kg8 1-0 ,https://www.chess.com/game/daily/126389072
